,,,,?????? ??????,?????? ???????,,,,,,,,,,,,
??? ??????,??????,????? ??????,??? ??????,4/1/2026,4/30/2026,????? ???,????? ???,,,,,,,,,,
4153,8A,4/1/2026,245,245,262,0.59,0.59,,,,,,,,,,
4154,8A,4/1/2026,271,271,302,1.07,1.07,,,,,,,,,,
4155,8A,4/1/2026,245,245,290,1.55,1.55,,,,,,,,,,
4156,8A,4/1/2026,243,243,294,1.76,1.76,,,,,,,,,,
4157,8A,4/1/2026,234,234,277,1.48,1.48,,,,,,,,,,
4158,8A,4/1/2026,231,231,254,0.79,0.79,,,,,,,,,,
4159,8A,4/1/2026,222,222,267,1.55,1.55,,,,,,,,,,
4160,8A,4/1/2026,200,200,230,1.03,1.03,,,,,,,,,,
4161,8A,4/1/2026,210,210,242,1.10,1.10,,,,,,,,,,
4162,8A,4/1/2026,264,264,281,0.59,0.59,,,,,,,,,,
4163,8A,4/1/2026,192,192,220,0.97,0.97,,,,,,,,,,
4164,8A,4/1/2026,197,197,233,1.24,1.24,,,,,,,,,,
